Tue Jun 02 09:08:45 2020

Number of Points = 3029
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-11.367790	-4.762493	3.090291	0.002250	0.459556
-11.247122	-4.804920	3.100288	0.002228	0.459556
-11.348808	-4.767857	3.110285	0.002247	0.459560
-11.220093	-4.773734	3.120282	0.002224	0.459702
-11.172748	-4.746425	3.130278	0.002215	0.459861
-11.131243	-4.762139	3.140275	0.002208	0.459856
-11.119856	-4.753385	3.150272	0.002206	0.459902
-10.755144	-4.804742	3.160269	0.002140	0.460181
-10.845307	-4.773189	3.170266	0.002156	0.460179
-10.851772	-4.769979	3.180262	0.002158	0.460182
-10.799972	-4.771649	3.190259	0.002148	0.460241
-10.660596	-4.752529	3.200256	0.002123	0.460487
-10.713987	-4.733877	3.210253	0.002133	0.460486
-10.664361	-4.751634	3.220250	0.002124	0.460484
-10.507933	-4.735688	3.230246	0.002096	0.460740
-10.543951	-4.705691	3.240243	0.002102	0.460802
-10.440662	-4.743159	3.250240	0.002084	0.460798
-10.304095	-4.772236	3.260237	0.002059	0.460866
-10.129427	-4.766636	3.270234	0.002028	0.461108
-10.091831	-4.779046	3.280230	0.002021	0.461110
-10.084203	-4.782429	3.290227	0.002020	0.461107
-9.984750	-4.817950	3.300224	0.002002	0.461105
-9.826970	-4.799965	3.310221	0.001973	0.461370
-9.720795	-4.818204	3.320218	0.001954	0.461438
-9.818600	-4.783460	3.330214	0.001972	0.461439
-9.759224	-4.805132	3.340211	0.001962	0.461435
-9.736467	-4.810566	3.350208	0.001957	0.461444
-9.496900	-4.843856	3.360205	0.001914	0.461628
-9.617632	-4.769597	3.370202	0.001936	0.461741
-9.504207	-4.809263	3.380198	0.001916	0.461742
-9.604966	-4.772686	3.390195	0.001934	0.461745
-9.378465	-4.812252	3.400192	0.001893	0.461890
-9.490619	-4.726597	3.410189	0.001914	0.462055
-9.355889	-4.773806	3.420186	0.001889	0.462055
-9.422320	-4.712313	3.430182	0.001901	0.462192
-9.001983	-4.811946	3.440179	0.001826	0.462366
-9.189271	-4.743688	3.450176	0.001859	0.462373
-9.004151	-4.811596	3.460173	0.001826	0.462363
-9.032297	-4.758261	3.470170	0.001831	0.462519
-8.650503	-4.841705	3.480166	0.001762	0.462702
-8.996997	-4.720630	3.490163	0.001825	0.462698
-8.662686	-4.838139	3.500160	0.001765	0.462698
-8.963608	-4.718304	3.510157	0.001819	0.462747
-8.452953	-4.828251	3.520154	0.001727	0.462998
-8.579414	-4.782491	3.530150	0.001750	0.463002
-8.516313	-4.805914	3.540147	0.001739	0.462997
-8.694699	-4.730415	3.550144	0.001771	0.463042
-8.200284	-4.828647	3.560141	0.001682	0.463314
-8.448437	-4.740658	3.570138	0.001727	0.463315
-8.278256	-4.801028	3.580134	0.001696	0.463313
-8.389715	-4.747658	3.590131	0.001716	0.463363
-7.998861	-4.813507	3.600128	0.001646	0.463621
-8.221659	-4.733357	3.610125	0.001686	0.463626
-8.142069	-4.761364	3.620122	0.001672	0.463626
-8.006607	-4.753280	3.630118	0.001647	0.463825
-7.845746	-4.773005	3.640115	0.001618	0.463957
-8.026504	-4.707873	3.650112	0.001651	0.463962
-7.815646	-4.782966	3.660109	0.001613	0.463958
-7.740400	-4.743480	3.670106	0.001600	0.464194
-7.551475	-4.803861	3.680102	0.001566	0.464216
-7.643975	-4.769822	3.690099	0.001582	0.464221
-7.605825	-4.784582	3.700096	0.001576	0.464215
-7.515204	-4.731187	3.710093	0.001559	0.464520
-7.339391	-4.792430	3.720090	0.001528	0.464522
-7.439432	-4.755317	3.730086	0.001546	0.464528
-7.280602	-4.793154	3.740083	0.001517	0.464593
-7.202865	-4.753494	3.750080	0.001503	0.464832
-7.166876	-4.765921	3.760077	0.001497	0.464832
-7.271857	-4.730725	3.770074	0.001516	0.464825
-6.925468	-4.789776	3.780070	0.001453	0.465050
-6.875875	-4.777682	3.790067	0.001444	0.465155
-6.850910	-4.786901	3.800064	0.001440	0.465153
-6.937016	-4.756710	3.810061	0.001456	0.465152
-6.735697	-4.827347	3.820058	0.001419	0.465153
-6.727533	-4.747595	3.830054	0.001418	0.465448
-6.433978	-4.846484	3.840051	0.001365	0.465463
-6.533674	-4.813318	3.850048	0.001383	0.465456
-6.457508	-4.838411	3.860045	0.001369	0.465461
-6.598755	-4.772366	3.870042	0.001395	0.465519
-6.184463	-4.845531	3.880038	0.001320	0.465778
-6.368782	-4.780104	3.890035	0.001354	0.465779
-6.264753	-4.818761	3.900032	0.001335	0.465772
-6.246645	-4.824348	3.910029	0.001332	0.465774
-6.108238	-4.794419	3.920026	0.001307	0.466054
-6.006207	-4.819178	3.930022	0.001289	0.466094
-5.993445	-4.825968	3.940019	0.001286	0.466085
-6.099484	-4.789036	3.950016	0.001306	0.466083
-5.799453	-4.817041	3.960013	0.001251	0.466360
-5.825221	-4.790766	3.970010	0.001256	0.466420
-5.668570	-4.846213	3.980006	0.001228	0.466419
-5.861432	-4.778421	3.990003	0.001263	0.466417
-5.674880	-4.795559	4.000000	0.001229	0.466590
-5.710930	-4.745411	4.009997	0.001236	0.466723
-5.522224	-4.812224	4.019994	0.001202	0.466721
